LAT,LON,EMP_WAC,POP10
37.7585,-122.4074,1,258
37.7631,-122.4052,0,0
37.7625,-122.4078,29,174
37.7666,-122.4050,0,0
37.7674,-122.4053,0,0
37.7611,-122.4063,0,0
37.7609,-122.4061,0,0
37.7682,-122.3970,0,0
37.7721,-122.5112,3,0
37.7795,-122.4981,1,0
37.7795,-122.4971,1,0
37.7799,-122.4971,1,30
37.7814,-122.5082,2,208
37.7799,-122.4896,0,0
37.7725,-122.4784,0,8
37.7800,-122.4874,1,0
37.7801,-122.4842,0,0
37.7806,-122.4734,2,0
37.7720,-122.4832,0,0
37.7815,-122.4547,3,0
37.7814,-122.4554,2,0
37.7811,-122.4627,0,0
37.7843,-122.4337,119,0
37.7858,-122.4315,9,0
37.7825,-122.4462,0,0
37.7839,-122.4362,0,0
37.7868,-122.4718,1,32
37.7680,-122.3926,112,0
37.7133,-122.4648,14,183
37.7088,-122.4469,0,132
37.7546,-122.3833,41,0
37.7820,-122.4164,214,737
37.7840,-122.4282,0,0
37.7752,-122.4085,155,160
37.7726,-122.4090,134,285
37.7719,-122.4083,64,4
37.7257,-122.4633,2,0
37.7733,-122.4014,199,197
37.7339,-122.4166,1,102
37.7558,-122.3953,5,213
37.7435,-122.4054,19,1
37.7506,-122.3943,83,0
37.8209,-122.3695,0,0
37.7112,-122.4788,197,540
37.7795,-122.4766,39,200
37.7815,-122.4757,73,133
37.7816,-122.4735,118,208
37.7778,-122.4721,0,0
37.7741,-122.4715,0,0
37.7720,-122.4733,0,9
37.7626,-122.4771,12,0
37.7645,-122.4767,40,245
37.7608,-122.4763,7,222
37.7608,-122.4753,7,222
37.7564,-122.4901,0,141
37.7737,-122.4519,98,176
37.7835,-122.4495,28,265
37.7824,-122.4486,4,0
37.7777,-122.4501,3,72
37.7739,-122.4502,51,135
37.7729,-122.4501,63,258
37.8118,-122.3633,0,0
37.8115,-122.3707,1,42
37.7743,-122.4470,297,0
37.7745,-122.4453,4,192
37.7687,-122.4545,0,2
37.7709,-122.4513,7,328
